PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
36,19.2490734590101,1,7,0.9186224,89.8131331665079
37,18.6747950830031,1,13,1.037914,86.6361846463327
39,19.9426141250005,5,149,1.77618,79.5407885146948
38,19.666655707988,1,8,1.117988,81.4367730030545
37,18.7860629170027,4,58,0.9627875,83.5669460553877
36,18.6347153749957,3,57,0.9778957,85.7114016681315
38,19.2854044589913,1,9,2.719384,81.3100482896951
36,18.7336164580192,5,53,0.7081409,87.1581562492453
36,18.9171751670074,4,56,0.9173318,85.902952666679
36,19.2674607079825,2,9,0.7989201,84.9930139681221
37,18.4844410000078,1,4,1.056637,82.4881397806032
37,19.7833405419951,2,96,0.8938709,84.2527939726951
38,19.2679887500126,1,12,2.692838,80.1735844472423
36,19.1022762919893,2,53,1.006436,86.876505721451
36,18.4184945419838,3,52,0.4955788,85.8829942209931
38,19.101065625,3,56,1.1188,82.1804714505193
37,19.7673795419978,2,34,0.7960367,83.8179629212497
36,19.0840599999938,2,40,1.105297,86.3837060824347
37,19.1011748749879,2,41,0.8966528,83.7419391876917
36,19.1196825420193,1,8,0.809877,87.3494004165857
37,19.0033184159838,1,9,0.8670323,80.3361025676383
38,19.2517148750194,2,10,2.367742,81.885678709693
36,18.4667184999853,4,57,0.6545581,86.5360509738481
37,18.9689742499904,1,9,2.425363,82.9888096510659
36,19.4523002920032,1,13,1.081433,85.804117944596
37,19.1874974580132,1,12,0.8789901,86.650292861074
36,19.4000937500095,1,13,0.678598,85.520406248837
36,19.2342658329871,2,10,0.5442092,86.7113958342622
38,19.1850728749996,1,13,0.9649345,82.549768735912
37,19.3846971659805,4,41,1.052503,84.6624638109241
36,18.5517697909963,2,12,0.9701957,83.6423459986432
37,19.4001474590041,1,7,0.9055048,82.76800005591
38,19.3509304170148,1,11,1.103498,81.7327631344823
36,18.1530520420056,1,9,0.8585436,86.0174559727829
37,19.5337302080006,4,53,0.8022626,83.9395146735164
39,19.7168700000038,1,13,1.000687,80.5103353856561
36,19.43457016701,2,26,0.7603393,85.4898483917997
38,18.9330110830197,1,7,0.9176772,80.418546026205
36,18.9836699999869,3,57,0.6499701,86.1415543339681
37,19.2180165829777,1,11,1.096582,85.2388818606835
