PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
21,11.3338214578107,18,441,1.549611,77.5546349939846
23,11.6181217497215,8,528,1.525393,69.0457971118715
21,11.6999152079225,14,372,1.090668,72.4751071427904
22,11.3494402500801,8,385,1.55008,72.4113539961929
22,11.7974936673418,8,577,1.607629,69.7928805920211
21,11.4027641247958,17,603,1.247544,73.7874087700177
22,11.4818328749388,9,270,1.472398,71.1474072569135
22,11.8493914590217,8,308,1.244642,74.7657159809023
21,11.2174737909809,11,501,1.63451,76.1913092851284
23,11.8655907502398,16,473,3.05435,67.4377482627397
21,11.7996860840358,7,453,1.071634,76.7425694724634
22,12.0007569580339,13,376,1.138584,69.9616136156361
21,11.5849559586495,8,484,1.160318,74.0679327088098
21,11.8641694579273,7,355,0.9612828,74.4317757364895
22,12.2485843747854,10,379,2.255464,72.9132120243528
21,11.7662134589627,17,534,1.268936,76.2585535024603
22,12.0824529160745,7,309,1.683807,70.9022065539929
21,11.7827204577625,17,468,1.619751,72.5386112130114
22,11.4004185418598,16,540,1.674668,71.0469261446798
