PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
18,9.21256391599309,1,49,2.023735,27.0078728903577
17,8.4806361660012,1,57,2.19716,28.4665315908462
19,9.31421916600084,3,128,2.252999,27.219532838851
18,8.81452000001445,1,43,2.139892,26.258060333526
17,8.48169962500106,1,61,1.993475,28.0333849419977
19,9.48113420797745,1,83,1.98115,25.9144014730976
17,8.73188533299253,1,15,2.257295,28.6931419464321
19,9.48109362501418,1,48,1.666216,28.0720898942826
18,9.04735795801389,1,44,1.913249,26.8790000005134
19,9.42972583399387,1,104,2.010033,26.4496622150641
18,9.23086920898641,2,181,1.82318,28.7461736136013
21,10.2811269999947,2,34,1.905104,28.2568135257212
20,9.86539437499596,2,107,2.490437,26.7276580503676
17,8.38180604201625,2,18,2.003816,25.05946329021
18,8.71726270799991,1,31,2.04618,27.4285951131282
17,8.26542762501049,1,72,1.819886,27.0270686493913
18,9.19742379098898,2,31,2.508965,25.4857847774272
19,9.1972158329736,2,38,2.404464,26.0781994714451
17,8.24915808299556,1,51,2.393648,26.4873479968896
21,10.3993038329936,1,59,1.736452,25.3217222385242
18,9.06447495799512,1,46,1.540435,25.9528103876316
19,9.53028654097579,2,81,1.970424,26.6430064787672
20,10.0646452080109,1,65,1.770152,25.672637601383
19,9.24765329097863,1,43,1.883265,26.3488114211022
21,10.3329740419867,1,179,1.737413,26.1570258077145
18,8.88168370898347,2,21,2.107655,26.961918887941
17,8.43175849999534,1,24,2.821922,26.9114950017812
18,8.96572245800053,1,58,2.036326,26.6108656699847
21,10.4302409579977,1,49,3.064025,24.4485178125268
22,11.1157344999956,1,121,2.206928,25.389770817128
18,8.76458162500057,2,31,1.948681,25.921828721443
18,9.03270308399806,1,65,2.312907,26.3674698896163
17,8.34748062500148,1,36,2.009927,27.7424854113419
19,9.73070524999639,2,63,1.908729,26.2607367874711
18,9.11505020901677,2,121,2.362977,26.7576341171257
18,9.04735212502419,3,104,2.081308,25.6809976676272
21,10.2976047919947,1,40,2.447584,23.6567023814478
19,9.5642662080063,1,126,1.92766,26.70627410254
19,9.43072008399758,1,35,2.044285,27.1162434196173
18,9.21357120800531,2,59,2.121589,27.595273165692
