PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
36,19.3056184579909,1,2,1.305155,68.5677071119167
37,19.6986589159933,2,85,1.503762,70.7434728903746
36,19.9131772080145,0,0,1.357761,72.9380138080386
37,19.3820764579868,1,10,1.263409,76.1839943226754
39,19.7482942919887,3,130,1.91921,66.4510128964336
37,19.4150902499969,4,277,1.368894,70.628711594382
37,19.8325723330199,1,32,1.265233,69.7660271079984
38,19.1147687499761,2,35,1.638607,70.6540767898734
38,19.5478673750185,3,270,1.396599,65.0973278404655
36,19.6990901670069,5,234,1.155292,72.0759571979159
37,19.5145635829831,2,6,1.379148,70.2049797062158
38,20.4982906660007,17,583,1.894301,69.4967620235647
38,20.6957416250079,1,42,1.544396,71.4621469738133
37,19.6984497079975,1,8,1.159791,66.6267883206617
37,19.1651002920116,4,250,1.152277,69.9697917286005
38,20.2152598329994,8,240,1.740725,71.0114429990001
36,19.8820912089723,0,0,1.215407,74.2382985287889
40,20.2312815409969,4,41,2.060465,67.7951656988007
36,19.2315335829917,0,0,1.307915,67.435703665626
37,19.798485834006,11,310,1.230352,71.8799854583057
37,19.9307206249796,1,43,1.171608,70.5916937543583
37,19.765203582996,2,9,1.562297,69.8093063523238
37,19.6149195839826,0,0,1.362819,74.4836035938178
38,19.4472624580085,2,18,1.757664,70.1910636064498
38,19.7660820419842,10,239,1.509413,69.6387072400018
38,20.0146360830113,2,54,1.926743,66.5318102630615
38,19.7981785830052,7,259,1.512941,68.7822818436023
39,20.7646507089958,1,6,2.836142,67.9215938695945
39,19.864592583006,15,544,2.518135,66.9704027427838
38,19.8154627500044,1,6,1.234038,68.0086743684093
37,19.8481979999924,1,6,1.621857,69.0348647838912
38,20.3151939170202,3,62,1.359238,67.1942522105589
38,20.4473455410043,1,7,1.330524,71.6921710508606
38,19.4655562920088,8,492,1.631286,68.7435405247624
38,19.3656860000046,0,0,1.486795,66.779507607528
37,19.1317576670262,0,0,1.406894,70.0826127304872
37,19.3308953749947,7,182,1.620185,70.1431766737605
37,19.4647053749941,6,263,1.701622,70.0248322100253
37,20.01453687498,0,0,1.617784,72.3533986719778
37,19.8162997920008,5,104,1.327826,72.2021318372918
