PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
16,7.78281079200679,4,47,2.015076,53.3308044959995
14,8.5822314999823,3,46,1.826492,70.0621727134733
13,8.21490837499732,7,127,2.08636,69.8719006166077
14,8.41609808302019,4,39,1.305481,65.2144851441595
14,7.9662166670023,4,35,1.619398,63.6572262135035
14,7.64942766699824,4,74,1.711485,58.2967349930966
16,7.73228633299004,0,0,1.674782,52.9255338733492
14,8.16722083400236,4,94,1.578117,64.4065267136154
13,7.89799387499806,5,94,2.35721,66.5585704622432
16,9.43287266700645,5,99,2.128045,55.3781745039159
15,7.94894795800792,6,108,1.802221,54.0635888657533
14,9.81569437499274,4,142,2.08375,72.7909075005446
14,8.58286737502203,0,0,1.666831,65.7473869235255
18,9.04812158297864,4,69,1.778735,53.3498727777818
15,8.76579412500723,4,46,2.414353,57.964150066146
14,7.7149397500034,2,26,2.03605,60.749011856537
14,8.24946754099801,6,63,1.679479,73.7802469935601
15,8.29879195900867,6,109,1.883836,62.4259861360614
16,9.28302841700497,3,48,1.880775,54.9954114339198
14,8.21691216601175,5,104,1.78298,64.6376429296631
13,8.3985225840006,4,69,1.994943,66.4839807633454
13,8.19907733300352,4,48,2.495362,64.1843526144154
15,8.59953683297499,5,82,2.279996,61.7418305327495
14,8.16594866701053,3,47,2.399847,63.2616844273372
13,7.99881416698918,6,110,1.563537,70.0441986912718
15,8.88033229100984,4,90,1.536331,63.5741029944271
13,8.39906462500221,4,47,2.45199,69.2055963893206
13,9.19778129199403,5,65,1.926313,73.1601923067624
15,10.3489693749871,5,60,2.192446,68.3082443991055
14,9.4323429579963,4,48,2.446664,52.3088631411416
15,8.21666933398228,5,75,1.684721,60.9642443984436
14,8.49823629201273,5,84,2.161067,59.3749224312404
15,7.45003716700012,4,64,2.165625,57.5261085332682
15,7.94917366700247,5,96,2.095309,62.7399889384396
13,9.73157575001824,7,165,2.32954,64.5419392271612
14,7.96641333401203,2,33,2.068496,65.4868631432099
14,9.26390691602137,6,98,2.105223,71.0125803556626
14,7.68301058298675,2,45,2.220139,63.3469613593937
14,7.98431258302298,5,71,2.145506,64.0651221433654
14,7.68176125001628,1,15,2.067803,55.6075862155828
