PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
18,8.96397208399139,0,0,1.628443,39.5914629399259
18,8.73181670802296,0,0,1.431724,37.2224490549545
17,8.54899991600541,1,23,1.325994,40.728200940922
18,8.96403312499751,1,12,1.500007,38.3815277794686
19,9.24717541600694,0,0,1.455388,37.1687084721328
18,9.19844741700217,1,17,1.141968,38.5964721661165
18,9.06305650001741,1,14,1.500355,37.5427291631543
20,10.0308767500101,1,16,2.765315,35.1891520520439
18,8.94660095797735,0,0,1.534039,39.7372777240687
18,9.14649770900724,1,11,1.35437,39.0045925030588
18,8.86242787499214,1,34,0.9867093,37.6552662249499
18,9.11603087501135,1,16,1.560404,39.1705531106305
19,9.29790575001971,1,27,1.395132,36.8964188428914
17,8.56560649999301,0,0,0.7891484,40.50320352818
18,8.88045745898853,1,29,1.657316,37.9855972197321
19,9.63116441600141,1,29,2.427273,40.0418092092303
19,9.43214287501178,0,0,2.757259,37.0625197384997
18,8.74880916599068,1,27,1.630607,38.6701988916482
18,9.11620058299741,1,31,1.255916,38.002215277326
18,8.73113075000583,1,4,1.613391,38.3395602224886
19,9.21378829100286,1,29,1.403537,36.6954034221922
18,8.74910954100778,1,22,1.451722,38.2061041681381
18,9.232815166004,1,24,1.503386,37.6654004438832
17,8.29773645900423,1,20,1.536826,38.5574634710792
18,8.73198095799307,0,0,2.138772,38.1643148850546
18,8.93194345801021,0,0,1.744542,38.323307833505
18,9.03000179200899,0,0,1.319023,38.4837015008088
18,9.18123329099035,0,0,1.186452,38.3209931153235
18,9.06495529200765,1,18,1.106609,37.7746897736668
17,8.59925612501684,0,0,1.103457,40.1187719424557
18,9.23112616699655,1,3,1.788151,38.9533935538364
20,9.81529070899705,0,0,2.65964,35.5215581992525
18,9.21248262497829,0,0,1.307704,38.1272153333864
17,8.58126300000004,1,20,1.032338,39.3216078827048
19,9.43133016701904,1,19,1.798658,36.5933552614144
19,9.53384679200826,1,18,1.299135,35.969999893017
18,8.76486604099046,1,27,1.206871,37.5061158313959
18,9.09661012497963,1,3,1.099754,37.3989605027924
18,9.21495712499018,1,9,1.206303,38.5986412293278
18,8.86427020799601,0,0,1.73259,38.054824053284
