PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
20,10.1922717923298,1,38,1.694267,36.4348810166121
22,11.0639901249669,1,37,1.623699,33.8182311759076
20,9.98081283317879,1,43,1.57822,37.0265062199906
21,10.5991675001569,1,38,0.8575487,35.2945773463164
20,10.1139990002848,1,38,1.352427,36.8033666629344
18,8.96475208364427,1,39,1.462833,39.1547569435918
22,11.0148487081751,1,41,1.146711,34.7979299470105
20,9.91494116606191,1,37,1.364419,36.6552626015618
21,10.5308222500607,1,37,1.265896,35.6103194921854
22,11.0484314579517,1,40,1.360442,34.5273448408327
19,9.51396233402193,1,39,0.7494711,37.4510240937142
19,9.58072704169899,1,39,1.27338,37.2031361697928
21,10.297357709147,1,37,1.358475,35.2639562583395
23,11.54548333399,1,40,1.767274,34.2522084753474
20,9.73123391671106,1,39,1.559362,36.5057875402272
21,10.4961177920923,1,40,1.268587,35.1305594667792
22,11.0308693330735,1,36,0.8558812,34.2302973678505
20,10.0975671671331,1,37,1.053897,36.9283582549542
21,10.4981939173304,1,38,1.126019,35.5898056489726
26,12.8882583752275,1,41,1.113518,26.2863990994027
