PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
20,10.260188375134,1,142,4.29778,24.4512063218281
19,9.53072962537408,1,74,1.854317,25.351421049747
18,9.14547662530094,1,56,2.146924,28.0823565553874
20,10.0314354579896,1,55,2.353786,25.673910160549
18,8.96659333258867,1,47,1.683074,27.3638009093702
18,8.91410825029016,1,43,1.862581,25.7724188785586
20,9.87920954218134,1,46,1.729002,26.938023022376
18,8.89821716677397,1,55,2.114754,27.436361156611
20,10.1450962079689,1,51,1.539268,26.220933184959
22,10.7459543747827,1,68,4.289716,23.5109699001028
18,8.79807566618547,1,37,1.752248,27.7825441832344
20,9.93017225014046,1,106,2.216498,26.5610895119607
17,8.43136799987406,1,53,2.180167,27.5484263787375
20,9.96575704216957,1,107,3.681992,24.7475999640301
17,8.19488820806146,1,49,1.808841,26.0247180567068
18,8.781451290939,1,50,1.980985,26.3285093112952
19,9.73157020891085,1,70,2.370671,27.8059692661229
20,9.76337125012651,1,60,1.72674,25.9061270626262
20,10.034461250063,1,95,2.40248,24.6727103134617
21,10.4570583328605,1,75,1.85382,23.0144027930995
