PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
36,19.4816209580749,3,64,0.8891155,77.0591955709582
38,18.9492127499543,2,65,1.024262,72.5673958169002
36,18.1130289998837,2,66,0.7791671,76.7609687754884
37,19.1670796666294,2,69,0.8190632,75.1500674775122
36,18.4636795409024,2,64,0.6950119,73.3877663604087
36,18.6830431660637,2,63,0.8399922,75.4371863763986
36,19.4151729997247,3,65,0.8423663,75.907141306541
36,18.3320097080432,2,64,0.9198283,76.9900185211251
37,19.2316213343292,2,65,0.7625904,74.979408795165
36,18.3823796669021,2,66,0.9450742,77.3349791998044
37,19.397255291231,2,64,0.9932949,75.437272445777
36,18.9673823746853,3,69,0.7524105,75.0263053923845
36,18.9811918330379,5,119,0.9667819,74.059401690546
35,19.132645457983,3,35,0.7918175,71.5319024132831
38,19.1975600831211,2,66,0.8421771,69.9829057741322
36,19.165729792323,2,69,0.4510081,72.0554814906791
36,19.4143652077764,2,66,0.8968289,71.9824860829653
37,19.2829875000753,2,62,1.049356,73.9501475457203
36,19.0658516669646,2,64,1.049514,73.0032130506717
39,19.4692181660794,2,54,1.280214,73.4334699928952
