PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
12,5.92357112513855,3,50,1.985775,52.3407083625595
14,7.0321310418658,4,58,2.338785,54.7364849397647
14,6.77059133397415,3,64,3.41638,49.0574285587562
12,7.1835881662555,6,76,1.576238,54.948340364111
12,6.15000149980187,7,141,2.219983,54.2967080837116
12,6.88091554213315,6,75,1.961519,53.8240000993634
10,6.06402816576883,7,82,2.081363,63.1884455680847
11,5.87902612518519,7,77,1.731775,61.6331590678204
12,6.24781629117206,12,147,1.95295,54.9497049069032
11,6.46270462498069,5,51,2.122425,61.0973712649535
11,6.19746204232797,5,107,2.130026,54.8211174424399
12,7.18081770790741,4,78,2.038398,53.3170520793647
12,7.09727362496778,7,101,2.66861,54.5678886119276
11,5.74634762480855,9,99,1.861466,61.3607686774975
13,6.1955058327876,9,107,1.926096,50.5539935368758
10,6.99756233440712,2,31,2.19879,65.6804208643734
14,6.7310617081821,3,42,2.442462,45.8309553630118
11,6.10028808424249,4,78,1.816716,61.2938293594528
11,6.68029162520543,4,45,1.85289,56.3410490497269
11,6.42817437509075,6,154,2.411246,57.130147702992
