PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
22,10.7043973333202,0,0,1.103892,25.7363921158354
24,11.6499274582602,1,5,3.248935,21.6363959092026
22,11.0509514170699,0,0,1.217403,23.9676874850623
22,11.1431496250443,1,3,1.211761,26.089662918821
22,10.9254648750648,0,0,1.602614,27.7654886118729
23,11.3002953338437,0,0,1.243322,24.4851195374909
23,11.2001509172842,1,4,1.210379,23.127072389521
23,11.3944912916049,1,5,1.354087,25.9780161609144
22,11.0918097500689,0,0,1.098781,25.6507119417868
22,10.6092667500488,0,0,1.082006,24.9542897482487
23,11.3854946251959,0,0,1.311363,23.6945364259831
24,11.7087941253558,1,3,1.414435,24.412199583215
20,10.467922042124,0,0,1.099984,27.8484876034781
22,10.6249612923712,1,1,1.419508,25.2141440922225
23,11.1586703751236,1,3,1.23389,25.1529022605847
23,11.5267913751304,1,4,1.179659,24.064244358274
22,11.2844159579836,0,0,1.45257,26.4543598644774
22,10.8093477920629,0,0,1.306371,25.2434469717131
22,11.1093058753759,0,0,1.204124,27.1601913369853
23,11.1797301671468,0,0,1.677141,28.4301721409935
