PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
18,9.58316587517038,0,0,1.3243,25.5881596563591
18,8.95539249991998,0,0,1.278064,29.0299559581197
18,9.08362887473777,0,0,1.159089,31.2926898348249
17,8.58388566691428,0,0,1.812844,30.8113211546751
18,9.01855820789933,0,0,1.099846,30.8058331979232
19,9.43372087506577,0,0,0.8857301,27.7098883433562
18,8.74276583315805,0,0,1.084962,26.7185301571671
18,8.71632879180834,0,0,0.744052,24.6264074877318
19,9.36828854167834,0,0,1.098835,23.9723925723841
18,8.58378495788202,0,0,1.249047,29.9652731304781
18,8.63284741714597,0,0,1.44652,28.5155579396006
20,9.94245512504131,0,0,2.76012,25.4018290899694
18,8.64194670924917,0,0,1.89628,28.5612290414671
18,8.83341816579923,0,0,1.010694,28.1704675354477
19,9.2257334580645,0,0,1.067146,27.3353442500689
19,9.10862000007182,0,0,1.245608,24.4437303688181
18,8.90088762529194,0,0,1.212766,25.5250229707195
18,8.6246329578571,0,0,1.803995,28.5235276807927
19,9.36681783385575,0,0,1.127791,26.5124100995691
17,8.60142320860177,0,0,1.26763,25.4582280621809
