PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
36,19.0383778330288,1,1,0.708932,0
36,18.9189087079722,1,1,0.4039682,0
37,18.9862810840132,1,2,0.6532322,0
36,18.8841359160142,1,0,0.4809096,0
36,18.8837584999856,1,1,0.4430532,0
37,18.9969999999739,1,0,0.7380475,0
36,18.8677743750159,1,2,0.6511225,0
36,19.0512282920536,1,1,0.4742323,0
36,18.8651592920069,1,2,0.630896,0
36,18.8189838329563,1,2,0.6890615,0
36,18.8666676250286,1,1,0.5214437,0
37,18.9357376249973,1,1,0.8447648,0
37,19.2043151249527,1,1,0.8755046,0
36,18.8514160410268,1,0,0.6695429,0
36,18.8675504999701,1,1,0.6338692,0
36,18.9506159170414,1,1,0.5553575,0
36,18.7860271250247,1,0,0.6258989,0
36,18.8512629999896,1,1,0.6713539,0
37,19.0335464169621,1,1,0.6527892,0
37,18.9677444999688,1,1,0.6673136,0
36,18.8375109590124,1,1,0.5082909,0
38,19.6492836250109,2,24,0.7829832,0
38,19.4555425419821,1,7,0.8750044,0
37,18.9677764169755,1,2,0.677388,0
37,18.967843958002,1,1,0.8085713,0
36,18.8349479159806,1,1,0.6264588,0
37,18.984098875022,1,1,0.6939501,0
37,18.9837397499941,1,1,0.7074539,0
36,19.5193876249832,1,0,0.4525839,0
37,19.0163148330175,1,2,0.690858,0
37,19.0484703749535,1,1,0.6859279,0
38,19.5848017089884,1,9,0.9399847,0
36,18.9828551660175,1,1,0.6667902,0
36,18.8521312919911,1,1,0.5234724,0
37,19.0502568750526,1,2,0.7093962,0
37,19.0341059159837,1,2,0.6893125,0
37,19.0478354169754,1,1,0.7339204,0
36,18.8173746669781,1,1,0.4983418,0
37,18.9335534579586,1,1,0.7605357,0
37,19.3871314999997,1,2,0.7633712,0
