PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
43,22.1845035839942,5,98,1.164034,0
44,23.3692472910043,5,79,1.206834,0
47,25.1387133749668,7,106,1.149354,0
43,22.6129735409631,4,101,1.534564,0
45,24.4982238339726,7,102,1.264856,0
43,23.7351713750395,5,88,1.060897,0
45,23.599241791002,6,127,1.160925,0
44,22.8007105420111,5,84,1.203972,0
44,23.2336149160401,5,125,1.013999,0
46,25.0014089170145,4,141,1.456347,0
46,24.4528854159871,7,107,1.039932,0
43,22.3495849579922,4,99,1.337054,0
44,22.9525277920184,4,117,1.158986,0
45,24.1688979159808,6,101,1.260336,0
45,23.486650249979,5,119,0.8050324,0
46,24.0512052910053,4,119,1.160326,0
45,25.1521980420221,5,87,0.9230444,0
46,24.8860713749891,8,140,1.10941,0
45,25.2177808749839,5,81,0.7827832,0
44,24.0180466669844,5,84,1.244171,0
46,23.719338750001,5,133,1.002627,0
44,23.9198904170189,4,94,1.235567,0
44,33.8760472910362,6,107,1.152216,0
44,23.5087056250195,6,94,1.293526,0
45,24.5522261669976,6,110,1.108928,0
42,21.6695147089777,4,71,0.9358289,0
44,23.1542030000128,6,90,1.001566,0
44,23.7030602089944,5,107,0.9118296,0
44,22.5838549999753,4,110,1.293102,0
47,25.2522286250023,6,95,1.339482,0
43,24.1033246250008,5,78,1.106479,0
44,25.0036905409652,5,79,0.8239421,0
46,24.6178743340424,7,127,1.057297,0
43,24.0205800410477,4,102,0.7209655,0
44,22.9018980000401,7,110,1.292211,0
41,50.9546038749977,7,135,0.838655,0
43,23.3682879580301,5,90,0.7715992,0
45,24.5666392499697,6,109,1.224759,0
43,21.9547161249793,4,65,0.8390173,0
41,22.6866356249666,4,76,0.7593786,0
