PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
20,10.6413705000014,1,0,0.5255858,0
20,10.6651240419887,1,1,0.5158965,0
20,10.6986268750043,1,1,0.5113903,0
20,10.6823205830005,1,2,0.5228419,0
20,10.6652898750035,1,1,0.5124156,0
20,10.6809309579839,1,1,0.5310098,0
20,10.7122613749816,1,2,0.5068459,0
20,10.6982364169962,1,1,0.5250664,0
20,10.6656695409911,1,2,0.52688,0
20,10.6810686670069,1,1,0.5330325,0
20,10.6816722910153,1,1,0.5128217,0
20,10.6639038749854,1,2,0.515268,0
20,10.6656410419964,1,2,0.5258057,0
20,10.6813167500077,1,1,0.5135282,0
20,10.6649880840268,1,1,0.5327868,0
20,10.7139287499886,1,2,0.5099643,0
20,10.6642339999962,1,1,0.5172182,0
20,10.6649856669828,1,1,0.507084,0
20,10.6966539999994,1,2,0.5232295,0
20,10.6649942499935,1,1,0.5468208,0
20,10.6643153330078,1,1,0.5275832,0
20,10.6656452919997,1,1,0.5244653,0
20,10.7144768750004,1,2,0.5207757,0
20,10.6813918330008,1,1,0.5160055,0
20,10.7158186669985,1,2,0.50828,0
20,10.650386541005,1,1,0.5264258,0
20,10.6823304159916,1,1,0.5081297,0
20,10.697844209004,1,2,0.5139884,0
20,10.6495070000237,1,1,0.5502948,0
20,10.6661612500029,1,1,0.5199725,0
20,10.6988467079937,1,1,0.5230221,0
20,10.6810571250098,1,2,0.5126172,0
20,10.6664122920192,1,1,0.5254224,0
20,10.6805517909816,1,1,0.5116969,0
20,10.7328164580103,1,2,0.5373582,0
20,10.6828994579846,1,2,0.514706,0
20,10.6639889580256,1,2,0.5158644,0
20,10.6836817080039,1,2,0.5331346,0
20,10.6718909160118,1,1,0.5073175,0
20,10.7512368750176,1,1,0.5539376,0
