PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
10,5.26487300000736,2,9,1.757607,0
9,5.44879187500919,2,5,1.724611,0
11,5.93123712498345,2,13,1.40774,0
10,5.61620654101716,1,3,1.713245,0
9,5.51464383298298,1,4,1.943445,0
9,5.7471440419904,1,15,1.792225,0
10,5.44806574998074,1,16,1.748929,0
9,5.29858525001328,1,16,1.706298,0
11,6.16512012499152,2,54,1.406073,0
10,5.89827095798682,2,16,1.414319,0
9,5.41485704100342,1,29,1.692394,0
9,5.34870154201053,2,6,1.739806,0
10,5.46539141601534,2,48,1.575984,0
11,6.46386879199417,5,61,2.556587,0
11,7.43230466698878,5,53,1.739402,0
9,5.38157374999719,2,11,1.62271,0
9,5.86580608400982,2,9,1.536451,0
9,5.33113095801673,2,8,1.814147,0
9,5.08097620800254,2,23,1.628942,0
9,5.43235141699552,2,9,1.820756,0
9,5.18073183399974,1,4,1.893739,0
10,5.26486329198815,1,30,1.775708,0
10,5.81524966700817,3,33,1.864686,0
10,5.5987048750103,2,10,1.924694,0
9,5.93208245799178,1,1,1.670917,0
10,5.63186899997527,1,29,2.175279,0
13,8.0993237090006,4,127,1.817415,0
9,5.2150676669844,1,4,1.774999,0
9,5.4651124580123,2,19,1.60925,0
10,5.86558866599808,2,9,1.871781,0
10,5.99882066700957,1,1,1.688826,0
9,5.21474987498368,1,4,1.789712,0
10,5.86502087500412,3,50,2.408472,0
10,5.46435712499078,1,3,1.862391,0
10,5.53112779202638,1,30,1.9055,0
10,5.73082937501022,3,9,1.900116,0
10,5.5816732920066,2,4,1.771576,0
9,5.56464329099981,2,18,1.607645,0
9,5.6654172919807,1,10,1.719613,0
11,5.73301537500811,1,27,2.003706,0
