PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
21,11.9680091659829,3,21,0.9749832,0
22,12.7147144579794,3,27,0.9598697,0
21,12.3480517920107,4,27,1.214276,0
21,11.8147325830068,3,31,0.940599,0
20,12.7474347079988,4,26,0.722896,0
21,12.0605663339957,4,29,1.420359,0
22,12.949684332998,4,58,0.948474,0
22,11.7140170000202,2,21,0.9652482,0
22,12.7971795829944,4,44,1.248389,0
20,11.8815904169751,3,25,0.7055283,0
23,12.197151957982,3,30,1.785406,0
22,12.0813359580061,4,42,0.9549094,0
20,11.4145711669989,3,22,0.6535171,0
20,12.6973104999925,4,32,1.141037,0
20,12.14744624999,3,43,0.7865402,0
21,12.1318809170043,3,26,0.7436702,0
20,12.1642960410099,4,27,1.068305,0
23,11.9980999589898,4,23,1.653259,0
22,11.7480721659958,2,19,1.481523,0
21,12.4982719580003,4,28,0.831243,0
20,11.2981645829859,3,25,0.869008,0
23,12.1312395409914,4,35,1.187569,0
20,11.9807772920176,3,73,0.7537581,0
22,11.6651422920113,2,19,1.030343,0
22,12.8289114590152,5,38,1.016896,0
21,11.9692299589806,4,33,1.484396,0
22,11.930819125002,4,29,1.096614,0
21,13.5149925840087,6,119,1.154163,0
22,11.8647658749833,4,52,1.343017,0
23,12.1243070409982,4,32,1.286651,0
21,12.0867724160198,4,34,1.796373,0
20,13.7641460000013,4,37,0.7525226,0
20,12.7307625419926,4,22,0.7253852,0
21,12.6472666250193,4,36,1.257684,0
22,12.0644727500039,3,29,0.9814355,0
21,11.3003126249823,3,25,1.111106,0
23,11.9980779579782,3,25,1.824828,0
20,12.3478085840179,3,88,0.6366102,0
22,12.8296930420038,4,50,0.927649,0
20,12.3314814580081,4,56,1.175951,0
