PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
17,8.78376879199641,2,7,0.8351822,0
17,8.79848612498608,2,8,0.7461295,0
17,8.79731700001867,2,7,0.8483892,0
17,8.79748870799085,2,8,0.705171,0
17,8.79644966698834,2,7,0.7933481,0
17,8.78365800000029,2,8,0.8249071,0
17,8.79822283299291,2,8,0.8466016,0
17,8.76464004098671,2,8,0.8659641,0
17,8.79819779199897,2,8,0.7555457,0
17,8.79752295798971,2,7,0.7561623,0
17,8.7988795839774,2,9,0.9290947,0
17,8.79793791699922,2,7,0.7302643,0
17,8.79753679101123,2,8,0.7394062,0
17,8.80057466699509,2,8,0.7443674,0
17,8.76098091699532,2,9,0.7504858,0
17,8.79834237499745,2,8,0.8284621,0
17,8.79895695898449,2,8,0.7322234,0
17,8.7982020000054,2,8,0.7908367,0
17,8.79810312500922,2,9,0.8525851,0
17,8.79855966701871,2,8,0.7609968,0
17,8.79853900001035,2,9,0.8139465,0
17,8.799169083999,2,8,0.7257045,0
17,8.80818895800621,2,8,0.7949171,0
16,8.8652065420174,1,2,0.74577,0
17,8.79850295899087,2,7,0.7562417,0
17,8.79697287498857,2,8,0.8895953,0
17,8.79845870900317,2,8,0.8126972,0
17,8.76539174999925,2,7,0.8373596,0
17,8.79773195800954,2,7,0.8295811,0
17,8.79922091698973,2,9,0.7551644,0
17,8.7983383340179,2,8,0.8432503,0
17,8.79888237500563,2,8,0.7784248,0
17,8.781076165993,2,7,0.913712,0
17,8.79735316699953,2,7,0.6883628,0
17,8.79789558300399,2,8,0.7356796,0
17,8.78128941700561,2,7,0.8737633,0
17,8.79830104100984,2,9,0.8919962,0
17,8.79888770799153,2,8,0.8513289,0
17,8.79886404098943,2,9,0.7283837,0
17,8.7979197090026,2,7,0.8137426,0
