PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
20,9.73086441727355,1,106,2.280391,17.8581353044137
21,10.4171120827086,1,64,1.877712,17.3161071946933
22,10.7327614580281,1,45,2.239989,18.2420360347764
21,10.426168625243,1,102,2.055902,18.4016408886583
22,11.0003257920034,1,80,1.801554,20.1557404150001
22,10.941756832879,1,62,1.904232,21.9346987803213
20,9.65851029101759,1,79,2.090083,22.8577625472099
21,10.1251372918487,1,70,2.103847,22.3235496364179
24,12.0428302078508,1,60,2.043768,22.9697656662514
21,10.5748161668889,1,85,1.906555,23.6333353622329
21,10.2425017082132,1,56,1.948113,20.8304008202893
20,9.95863983407617,1,71,2.151301,21.05647707358
22,10.9588483748958,1,78,1.995752,20.4143086024983
24,11.9995490838774,1,87,1.846438,20.8805259123134
20,9.64133537467569,1,87,2.127995,21.1381458677351
20,9.90040508285165,1,54,1.880811,22.0100334845483
20,9.67431741626933,1,79,2.080588,20.387745811604
20,9.69208012521267,1,40,1.975646,21.7446374008432
23,11.5850116247311,1,143,1.84326,23.1748695039879
25,12.364683915861,1,76,1.985048,23.9695866964757
21,10.696439542342,1,99,2.164668,26.8773531674274
19,9.67962449975312,1,85,1.797276,25.8046076142866
21,10.5338281667791,1,109,1.958854,25.470329337709
20,10.1658368338831,2,73,2.662352,27.0119332708418
21,10.2480756668374,1,60,2.120876,25.2035575297972
19,9.23080187523738,1,67,1.946611,24.8507324017976
21,10.6807004157454,2,107,1.380449,25.8725456272562
18,9.04700641613454,2,42,1.840621,26.2139794002805
18,9.03322520898655,1,60,2.121861,25.1515022634218
18,8.73091887496412,1,51,2.017512,25.6078751861221
22,11.1144144581631,1,153,2.633901,24.3069128853015
18,9.23028195789084,1,50,2.469216,26.2970278143055
21,10.7123333341442,1,56,2.10748,25.4075573757291
22,11.1303214998916,1,52,2.181882,24.9544488985769
20,10.0643129171804,1,49,1.91224,24.0498311119154
21,10.7487162081525,2,32,1.816247,26.6312182703543
22,10.8309120829217,1,54,2.114168,24.6248695025728
24,12.081173249986,1,104,1.170173,25.0758229522035
