PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
39,20.496662999969,4,221,1.456452,70.3694562379939
41,20.5127748339437,5,203,1.433879,65.2687804001134
38,20.4680922091939,3,23,1.652853,73.3266601363491
38,20.5899040410295,5,290,1.569107,71.9541622766931
39,20.4424054999836,6,295,1.904509,71.5374274131579
40,20.5345892920159,6,381,1.675926,67.4404717981815
38,20.2107750419527,4,184,1.604021,69.0138014401064
41,20.5173744168133,7,275,1.138263,68.3250842706823
40,21.0135576669127,3,221,1.990314,68.0597551399842
40,20.3904527495615,10,402,2.316538,71.9133261009119
39,19.993739915546,2,9,1.131896,68.1038013277337
40,21.0855885003693,8,353,1.75417,67.7453072625212
39,19.6103486251086,6,200,1.570582,68.2390608394948
40,20.5069554159418,2,71,1.387024,69.9186032870784
40,20.3047260832973,2,15,1.93172,70.5160801648162
41,20.5312159582973,5,119,1.514914,67.5626127503631
41,20.5301372078247,4,170,1.349268,65.1900355999426
39,20.3759643328376,8,267,1.831442,72.1608247870627
42,21.1003280002624,16,522,1.886069,65.4726189871629
37,20.1787890829146,3,197,1.373132,74.758051919776
37,19.5154979997315,2,170,1.814405,77.8360326422026
39,20.8808171669953,6,235,1.824028,73.5694624674626
39,19.8149405419827,3,266,1.290966,72.850537343094
38,20.3449555421248,0,0,1.094074,73.5688092505657
38,20.164901625365,4,153,1.446306,75.7224330997193
39,19.7816316671669,0,0,1.661701,77.3764187708879
37,19.7653427086771,3,113,1.572122,77.1547095422205
38,20.7480845418759,3,38,0.9309203,74.1599988878557
38,19.348757208325,12,410,1.980016,76.0124539466281
38,19.6488751247525,1,10,1.036052,75.5570625126558
37,20.9207151671872,3,233,1.237818,78.7904944421875
37,20.287478167098,0,0,1.316056,76.0144514182734
37,20.4138518748805,7,395,1.452773,80.9557308895967
37,19.765354459174,0,0,1.578759,77.1926194303543
39,19.8117906670086,6,205,1.519903,77.1590727023207
37,19.7983780000359,6,112,1.700061,83.2592747551767
37,20.2303579160944,8,131,1.667543,85.1032061477167
38,19.747195458971,3,72,1.393455,79.0969276629192
