PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
40,20.7535174996592,2,152,1.427498,65.7238604384474
40,44.4061663332395,1,35,1.72342,71.5940562076867
40,21.0346098328009,4,97,1.504499,66.0743770422414
40,28.9864265415817,0,0,1.623371,67.1787604806013
40,21.4599001249298,7,122,1.226845,67.0851593837142
40,21.733873500023,0,0,1.61154,64.1594239627011
40,23.1272256248631,0,0,1.615591,68.0659416364506
41,23.7100401250646,12,302,1.546204,68.8085446997387
39,22.3457235000096,5,169,1.39539,68.2725203462327
41,32.0179062089883,12,194,1.36101,65.0535843380522
41,20.5770420418121,2,131,1.646407,64.8854054374302
44,21.8925165832043,3,58,1.737144,63.0398598097434
70,35.5026080003008,2,26,1.124823,46.322530281863
42,21.0020039170049,1,21,1.624108,64.0887380688496
40,21.0519071249291,5,39,0.7910396,67.450279253535
44,22.0853694579564,1,63,1.395625,61.4075038518587
39,21.1118697500788,6,123,1.569924,67.3144176984445
40,20.7072393749841,0,0,1.451308,65.3135384549387
40,21.33774262527,0,0,1.271899,63.3538938127458
39,20.685070999898,2,28,1.329987,70.7253633687894
39,43.8154066661373,8,317,1.701396,75.5976859886104
41,21.2873321250081,0,0,1.741658,69.5651078528566
38,33.9983668751083,0,0,1.113255,73.1177027949965
38,21.6327404170297,2,15,1.637523,73.0496238745553
37,20.1808900409378,3,12,1.071621,76.5347859973239
38,20.7826204579324,1,9,0.9165787,73.4522587276603
38,20.9004060421139,1,8,1.642067,75.4580678736889
38,20.9318790412508,2,22,1.044398,75.5979012648918
37,20.2829930419102,0,0,1.279916,75.3373873193522
38,20.5177011252381,0,0,1.043609,75.7378541962489
38,21.3335146247409,12,304,1.864478,77.3634517222251
39,21.4476053328253,3,27,1.493396,72.6559091813098
38,19.9149123746902,1,37,1.634237,72.7934923121019
38,20.999792334158,4,30,1.093714,73.9446687634642
39,21.2473534997553,13,281,1.44811,73.1618333584032
40,38.6169558749534,11,292,0.8789487,73.3127844054252
38,20.1161193330772,2,11,1.116372,72.0531108274468
41,20.9522075410932,0,0,1.350356,71.1627784980143
40,23.5388087090105,0,0,1.314981,61.2643781467341
44,22.4730326249264,6,314,1.128256,57.6211686394262
