PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
23,11.4479500828311,0,0,1.363265,29.4185146163015
25,12.4326507500373,0,0,2.189218,27.549745105207
22,11.1086538326927,1,2,1.212079,30.0620037808337
22,10.6332058338448,0,0,1.795475,28.5091819029979
23,11.5927626248449,0,0,1.597214,27.5250886890875
23,11.318051374983,0,0,1.496515,28.4910615250144
23,11.4413090832531,0,0,1.089074,29.1172482235276
24,11.8924669171683,0,0,1.595839,27.5381804870752
22,12.4581662910059,1,1,1.326515,29.5266079377722
24,11.7840749998577,0,0,0.766131,27.6779947453178
23,11.6168114999309,0,0,2.050263,28.6235109417011
23,11.9531965842471,0,0,1.091604,28.9249817800263
23,11.4143835841678,0,0,1.734667,28.380485555238
24,12.217896708753,0,0,1.469194,29.3732151427927
22,11.6172893750481,0,0,1.141824,29.4716875280508
23,11.4416334996931,0,0,1.550266,29.0497029402658
26,12.7174958330579,1,6,1.557411,26.948091484463
22,10.9174036667682,0,0,1.011967,29.824791603129
24,11.8584260419011,0,0,1.301057,28.3945626191174
24,12.0635795830749,0,0,1.192076,32.4268160620704
21,10.5318418331444,0,0,1.495628,34.1111587227455
24,12.1137986672111,0,0,0.9463099,31.6937569101962
23,11.6465848330408,0,0,0.8841484,32.1920254348737
21,11.1981584578753,0,0,1.750476,34.7231726738669
23,11.5980348326266,0,0,1.382225,32.3448424106059
22,11.2462033750489,0,0,1.106044,32.9235492866825
23,11.3303723749705,0,0,1.486228,31.5654692037598
24,12.1641639997251,1,2,1.606041,32.5948490256754
23,11.6128955828026,1,4,1.33737,32.5558929218222
25,12.5816241251305,0,0,1.489769,31.9646732881665
23,11.9931839169003,0,0,1.096275,32.1728604562257
21,10.5121191660874,1,6,1.297404,34.6213235031991
24,12.0801753746346,0,0,1.421555,31.8813229872224
23,11.298461874947,0,0,1.373419,32.2485019088439
23,11.5506368749775,0,0,1.29745,32.4862010007643
23,11.5456655831076,0,0,1.442037,31.7630706881375
22,11.0968294576742,0,0,1.08776,32.3807537682693
22,11.4680559593253,1,1,1.805272,33.4940813905136
22,10.7717147087678,0,0,1.977573,26.808769039979
24,11.9056718340144,0,0,1.735873,24.3332605071676
