PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
17,9.47886908287182,7,93,1.60389,52.9916960581699
16,10.2094891672023,1,73,1.528747,60.7393983227666
15,8.9020856670104,5,81,2.052145,59.7186330705881
18,11.4603032502346,5,114,1.371272,50.4469535986169
17,8.7243960830383,6,107,1.531946,47.2468505613506
14,9.48535179113969,4,78,2.124319,64.4248869669225
14,8.99169845785946,4,66,1.801075,63.7787023359644
15,8.44561329204589,5,57,1.739918,57.6067776108781
14,9.25255420804024,5,34,2.229674,62.0809760876
14,8.65294191613793,0,0,1.678197,60.9079640292163
19,10.0023620417342,2,33,1.812392,49.8839581483289
19,9.4443146251142,1,26,1.803341,53.4939102240299
15,8.91894658328965,5,82,1.389003,59.965913866957
18,9.37643200019374,3,96,1.457727,54.2738748869548
16,9.50247574970126,4,109,1.591785,61.14142696606
15,11.4192147497088,2,38,1.822707,63.9670277945697
21,10.5524781667627,3,43,1.590604,48.8682816115518
15,8.45052637532353,6,89,1.631179,58.9648169465363
16,10.0117843751796,4,37,1.633994,60.1519296178594
17,8.94747699983418,4,91,1.841685,60.2423455840086
16,9.31719212513417,7,75,1.275475,63.5084712703247
16,10.5332404170185,5,110,1.37774,66.5160233911593
16,9.30085525009781,4,41,2.010684,60.5869324353989
16,9.24804004188627,5,99,1.77698,62.9246484022588
17,9.2184399170801,2,19,1.706683,63.1716838380431
16,9.61676891567186,2,22,1.925988,60.6429038161878
13,10.636151958257,2,43,2.062912,70.2345672851572
16,9.16693666717038,3,42,1.345198,60.4848568036687
16,9.88276991713792,7,153,1.475402,64.2038775549736
15,8.98553662514314,9,127,1.757087,63.7379860815903
17,9.96645299997181,3,69,1.717734,60.2218284929062
20,9.86488633416593,6,80,1.142611,51.5875980490819
13,10.5546332919039,5,55,1.711888,73.1366090476513
18,8.95036720810458,3,57,1.343291,56.4230971245302
12,12.1528662079945,2,18,1.792706,74.9935762723908
15,9.56672000000253,3,68,1.4428,65.8288277375201
14,8.01655850000679,5,102,1.78727,67.8341338477497
15,10.0668791672215,3,45,1.734797,66.9963446135322
16,10.8000982077792,4,68,1.679474,56.9498410040978
14,8.94666529120877,2,31,2.193352,57.5096638141466
