PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
24,12.9197288332507,13,417,2.1086,65.6729218317196
24,12.9586988328956,7,534,1.162188,60.9799982824673
25,12.975465875119,8,421,1.706257,56.9891232438385
27,13.3177159591578,11,397,2.935337,57.4154289508307
22,13.4177446248941,6,511,1.25342,62.2895549009131
24,12.3838427080773,9,370,2.028194,59.7296683699824
23,12.4927751668729,6,278,1.802618,61.4723551249051
25,12.4252988751978,9,474,2.021101,54.7855899855494
23,12.9683295418508,8,419,2.19708,61.2761505029124
24,12.4675624170341,6,315,2.071826,62.986855666774
25,12.8099575834349,9,468,2.022598,60.9189666807652
24,12.9018325828947,4,356,2.321214,60.4058680473827
24,12.6842817910947,5,237,2.583462,59.2096390319057
24,12.1511255418882,8,337,2.28044,60.9054965704369
25,13.5267067910172,7,406,2.377421,63.3144316636026
25,12.4441324169748,16,760,3.096194,62.0678150653839
23,12.7149953749031,4,224,2.094461,68.1478986516595
24,12.8772046668455,9,301,3.118097,59.8437187533515
24,13.0003929580562,7,314,1.677002,64.1049982126181
21,11.6240963749588,7,493,1.431405,74.012761891243
25,12.6498973751441,4,335,1.780868,59.9173133075237
23,12.1479694591835,5,422,1.378767,63.9464565674248
23,12.8978202920407,4,196,1.638038,67.0498948868202
25,12.632775249891,5,317,2.435485,62.1778032556176
24,12.0323922089301,8,335,2.019294,61.7192811138617
24,12.5636987076141,6,491,1.623652,64.3260988290422
24,12.0817673341371,6,367,2.408818,67.1766737553601
22,12.5156562500633,9,389,2.399335,68.300333339721
24,12.599090332631,7,267,1.955912,64.938086802916
23,12.5486578326672,8,396,2.244114,66.5913985272789
23,12.0821138746105,6,344,1.916211,64.0353586565217
22,12.1309843342751,5,204,2.433004,68.6615871646526
22,12.6495007923804,5,324,1.480356,66.0876704972576
23,12.3326747911051,6,255,2.004078,68.5719855170211
22,12.4014311251231,10,547,2.20881,71.0413901304657
23,11.6812238749117,9,442,1.575162,64.222016290802
22,13.2168396250345,8,565,1.763965,67.2050550241362
24,12.4322852082551,16,386,1.961105,64.0996198829574
