PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
21,10.5455852500163,1,0,1.223652,29.8182895806219
20,9.93315291637555,1,9,1.387142,30.6289874715731
20,9.949868791271,1,11,1.512486,29.079946083948
20,9.95050491718575,0,0,2.277377,29.7266625566408
21,10.1345834587701,0,0,1.607157,24.6840496104033
20,9.96171295875683,0,0,1.967787,27.7479271171615
21,10.3663981673308,1,35,1.574048,26.0320833573739
20,9.6673975000158,0,0,1.686355,28.1876937951893
18,8.88280041702092,0,0,1.256589,25.7558125174708
21,10.4063112079166,1,16,1.570356,27.6044107352694
21,10.4056500424631,1,18,1.037966,27.0427757253249
19,9.44973629107699,1,37,1.627694,27.5569187575265
20,9.60812808386981,0,0,1.697592,26.8382230540738
20,9.8585287919268,0,0,1.465647,28.6212000995874
18,9.13494566595182,1,36,1.838077,29.7371505552696
18,8.82361787511036,0,0,1.493626,30.3638795287245
18,8.79200250003487,0,0,1.357963,29.1338633073287
20,9.88297550007701,0,0,1.421212,26.3555000303313
20,9.90921245794743,0,0,1.482046,25.9238915517926
19,9.55474133323878,1,8,1.493592,35.3430548780843
19,9.51608195900917,0,0,1.107749,37.7264341927673
19,9.24921379191801,0,0,1.490583,36.3266381288045
18,9.001077957917,1,47,2.643935,37.4868493527174
20,10.0644832076505,0,0,1.420216,35.6277272105217
21,10.5818488751538,1,16,1.563425,34.674626841609
19,9.73257816722617,0,0,1.897703,36.8592784936099
19,9.42823399975896,1,34,1.768665,37.0939628123061
21,10.6656884169206,1,29,1.599274,34.9553274655981
18,9.16413570800796,0,0,1.694564,37.9120393707934
18,9.21383058419451,0,0,0.960635,38.0667707003239
20,10.2150450837798,1,4,1.280038,30.6255666771904
18,8.93146754195914,1,9,1.60608,37.889145883835
19,9.51151070790365,0,0,1.097867,36.7121927097048
19,9.4816405409947,0,0,1.461613,36.1984978233905
18,9.21461270889267,0,0,0.9145107,38.2806040191402
21,10.2840137081221,0,0,1.373175,34.1846546424287
18,8.98089662520215,1,17,1.926218,38.4278334418519
19,9.51527116727084,1,8,1.546176,35.2235612900634
