PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
22,10.8867671247572,2,47,2.101687,24.5104204143652
23,11.6643248749897,1,213,1.836205,26.1046323601318
21,10.3645029161125,1,55,1.977133,26.2581647950269
20,10.2313336669467,1,40,2.207586,24.9812916619703
19,9.49553591711447,1,49,2.1661,24.8047522710342
22,10.8297686660662,1,85,2.094515,25.1504282297736
23,11.2788379588164,1,78,1.696461,24.6729691836821
20,9.71395149966702,1,112,1.732263,26.2450352311134
20,10.1144697917625,1,64,1.576672,24.6568875852972
26,13.011815042235,1,81,1.552222,24.4126010399598
20,10.0809954581782,1,44,1.910987,26.0693521937355
21,10.748066124972,1,58,1.862052,25.6866051904148
21,10.4622392500751,1,54,1.813053,26.0375059165415
20,10.116646041628,1,49,1.601175,24.4527208153158
22,11.0466970419511,1,65,2.008036,24.9781668059189
24,12.1133414581418,3,170,1.724912,25.9526769902247
21,10.4654661668465,1,60,1.763073,24.6283670089075
21,10.4959725830704,1,58,2.189764,25.1453512436932
18,9.03079795883968,1,71,2.116696,25.3131181105143
