PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
40,20.3752667922527,23,658,1.594274,66.2676949286833
41,21.8976897089742,0,0,1.611077,67.0824582552219
39,46.6969119580463,6,60,1.463863,71.326818352995
38,22.4140812908299,11,352,1.288583,68.3677139152822
40,22.032455583103,5,148,1.407646,66.0679635941051
36,51.470821917057,2,70,1.250791,74.5784814288426
41,21.815964832902,1,30,1.193066,64.7572021840549
40,22.3957645832561,0,0,1.685035,67.1643739216961
84,42.8299440420233,2,172,0.8995378,48.1846700976824
40,21.2147224578075,8,169,1.369942,65.1357791270129
37,20.3819295000285,7,160,1.80004,66.2652262914422
38,20.3807084169239,3,64,1.369527,64.7701393371742
39,20.8312795422971,0,0,1.119533,63.6062862900778
37,20.7644079583697,1,9,1.244824,67.8954910663133
39,19.9298625411466,11,177,1.597583,64.9401772385224
39,20.8480120841414,11,254,1.595775,66.7988930064707
39,20.4805791662075,4,376,1.755623,67.7550011075651
39,20.8139442498796,15,421,1.585723,66.4556068487656
37,20.7312429999001,5,39,1.390329,67.7544886900766
