PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
16,9.72063912497833,2,23,1.235254,51.9757083675358
15,8.40096679190174,4,93,1.868467,50.0466251124938
16,11.1297536669299,2,45,1.88397,56.7138827755116
20,10.1008254159242,1,28,1.094964,46.3135187746957
14,8.66434254078194,5,148,2.347923,56.4795982957418
17,8.74595029186457,3,21,1.615069,51.0724067468854
18,9.18058454105631,1,19,3.307122,47.3386549856514
16,9.63314229203388,4,51,1.752557,48.8839997560717
15,8.84902479080483,6,129,1.418294,54.7936973161995
16,8.86519812513143,4,84,1.710659,47.0779427851085
14,9.26377495797351,3,55,1.327663,61.4176248865468
15,8.5647725421004,2,23,1.646554,54.8094305830697
14,8.37957045808434,5,73,1.590515,52.2553601767868
17,9.26432054163888,3,36,1.842776,57.9587744055864
18,9.54823774984106,4,60,0.9526722,49.3460463670393
21,10.9635797911324,5,87,1.521,44.5387340372517
15,8.8481060420163,4,51,1.607958,51.256483172377
15,9.59686137503013,3,69,1.88763,49.6333639758329
16,9.99778754077852,1,9,1.558563,54.1615207039285
16,9.33057258278131,2,27,1.185967,46.3567292317748
