PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
22,11.5136898336932,6,296,1.91135,79.4090625660663
24,12.817185042426,8,367,1.36354,73.4687291357356
23,12.8173542912118,7,461,2.222688,76.7517336441771
23,12.1005920418538,8,310,2.418752,75.1342047208353
22,11.763379749842,5,188,1.688336,74.9926344830204
22,12.1511033331044,13,397,2.037106,77.055215920237
24,12.3495140830055,6,370,2.047321,74.0663941833191
24,12.5342728747055,5,319,1.677912,73.4008958291573
23,13.1839114581235,7,462,2.231282,74.5360163121444
23,11.982044625096,9,167,1.720515,74.090416583678
24,12.0162976249121,4,279,2.100931,71.289350783142
22,12.5991397500038,7,322,2.163451,78.7386533126912
22,12.5995061667636,7,435,1.741156,77.6295133400708
23,11.9648887920193,6,273,1.940669,74.6249201626557
23,12.2333879587241,5,318,2.425262,73.2690997664695
23,12.5356505000964,12,550,2.541666,76.3372010956316
24,12.6830344167538,5,350,1.63556,73.2410747247438
26,13.1694996668957,10,434,2.189593,67.1179438224779
23,12.3691042922437,5,119,1.74128,77.2985743723162
25,12.9644458750263,9,329,1.560238,70.1878499053419
