PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
37,19.7818720000796,13,257,1.973184,74.9298028924779
38,20.2477669999935,0,0,1.426733,72.4418761551772
39,20.0468810424209,0,0,1.021798,72.654432641008
38,19.9962102500722,7,298,1.558944,73.3083233874487
38,20.4128522085957,3,28,1.492681,77.2927663730163
38,19.8791630831547,5,256,1.309356,74.4861886517978
38,19.7811451251619,3,166,1.422403,76.0714309290051
37,20.2479750411585,12,201,1.43611,78.048722881421
39,19.7797122499906,0,0,1.296827,72.1638814235727
39,19.8133857087232,0,0,1.013554,69.0015257001878
37,19.7465568343177,0,0,1.238824,72.5956306465574
38,19.9102937499993,3,252,1.53873,74.9202357654117
38,19.7471831659786,4,56,1.147829,73.1025690114812
40,20.2467692499049,4,261,1.196851,69.7972624679096
36,20.1469366662204,1,1,1.558399,73.9609328512516
36,20.0290921661071,0,0,1.08786,75.0671527607159
38,20.595506249927,2,45,1.297018,73.2926062651371
37,19.9999309997074,1,3,0.7867286,75.6262309119307
38,20.3145330417901,9,227,1.525595,75.9440448723341
