PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
23,11.7394066248089,1,7,1.175909,34.2358026208113
24,12.01748241717,0,0,0.7938969,34.5596596016549
23,12.1972695826553,1,2,1.469169,35.2393786179955
23,11.5829578749835,0,0,1.307552,34.840108766018
22,11.2140637920238,0,0,1.280437,36.2621610349214
22,11.2480694171973,0,0,0.9092444,36.1578144048425
25,12.3299371660687,0,0,1.189666,32.0996249467134
23,11.7468846249394,0,0,0.9513617,32.1901991922894
22,11.2635365421884,1,2,1.418133,34.0691931884397
23,11.6323884166777,0,0,1.681393,32.2906448424834
24,12.0118915420026,0,0,1.111031,30.4442952037789
22,11.2482593329623,0,0,1.137589,34.2642008115283
22,11.165030958131,0,0,1.605688,33.8640341281214
21,10.313273542095,0,0,1.432007,33.8727540691339
23,11.7645524172112,1,2,1.121501,32.6977046004132
23,11.5155436657369,0,0,1.200682,31.6818478395757
22,11.2083690827712,0,0,1.994255,32.8369773712687
23,11.2830740828067,1,6,1.026465,31.9631014464666
22,11.2810958339833,0,0,1.446852,33.962187463079
24,11.7366966661066,0,0,1.50321,29.5155156636611
