PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
20,10.096214458812,1,97,1.664292,20.3331270487979
21,10.5581171670929,1,64,2.043867,19.5907301579912
22,10.8083760421723,1,80,2.243131,19.6920528965579
23,11.2240427089855,1,60,1.782665,20.7298115786651
20,10.1086969999596,1,57,1.832482,20.3417729586363
23,11.2248884579167,2,189,1.624605,19.056275324977
22,10.7763682091609,1,50,3.471904,17.7903789180246
23,11.1336261252873,1,69,1.590351,18.3926939194941
23,11.3843777091242,1,48,1.904519,16.2368406865584
22,11.0001560002565,1,51,1.749282,16.5854301515289
22,10.9105282910168,1,122,2.290707,18.0867157283832
22,10.9592845411971,1,83,1.216228,16.6787307878787
22,10.9432182079181,2,70,2.853371,17.6398427945308
18,9.03390716714785,1,58,1.871683,20.4783865095427
20,9.834038708359,1,57,1.927769,21.0567271569744
22,10.7836169591174,1,88,1.597799,21.7896894848143
21,10.3002955000848,1,42,1.839157,21.4431328654644
20,9.70894466619939,2,99,1.956971,20.7903124624863
24,11.7173250839114,1,80,1.876592,22.0866945067731
19,9.35936087509617,1,114,2.084671,20.4624692223182
