PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
41,21.6050868751481,16,445,1.052866,73.445315018478
41,22.5034615830518,19,337,1.567865,71.8013181055828
39,62.4994249581359,9,282,1.612106,74.817416508897
38,20.7206562496722,8,80,1.482706,77.8348607770903
41,21.2865134999156,4,34,1.478294,71.5219390056119
40,20.5094212498516,3,62,1.271308,71.4043333078735
40,21.2040650001727,20,383,1.177873,77.3241114453413
40,20.7199981249869,3,45,1.598383,74.5898437686265
39,20.9620896247216,12,384,1.204309,74.5004155816367
40,21.4386145002209,2,23,1.801724,73.6898916191421
40,21.2678457922302,3,51,1.787691,73.3397770207375
40,48.7726365840062,5,21,1.420456,72.2372230491601
38,20.7694500838406,7,203,1.869712,78.2973980776181
39,54.0648611672223,3,74,1.678878,73.6808044215043
41,20.5945615828969,3,128,1.628669,75.5134338467586
41,34.0203978749923,2,21,1.432162,70.6722398924573
39,46.1056619593874,6,95,1.620284,74.5538717183547
39,20.7788649587892,4,71,1.080287,74.3864678944915
41,21.1027945838869,23,472,1.494375,70.8384288974651
72,36.992660916876,5,77,1.109036,50.3738744688841
