PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
14,10.297242292203,4,68,1.581292,55.2176724720214
16,9.59839512500912,9,112,0.9616738,55.8785236207768
15,10.3491236246191,5,105,2.078253,56.8026165167491
21,11.3479940420948,3,45,2.046529,46.0574186761819
17,9.41738295787945,4,70,1.62678,52.3165148573325
20,10.1174625409767,2,48,1.3675,46.7126086121425
19,10.1161107500084,4,110,1.414349,50.8780526242366
16,8.23090037470683,2,31,1.629491,49.0414374507964
16,9.63097329204902,7,151,1.562833,53.3807942701969
18,9.91492404136807,4,108,1.437925,49.8369744875365
16,10.0484714158811,7,94,1.660439,52.264421916334
14,9.49949883297086,6,92,1.907328,58.1400208175182
16,9.29740975005552,7,141,1.851983,50.3511927090585
14,8.11617958312854,5,69,1.24085,52.0104494810637
16,9.51492149988189,3,122,1.649724,55.1647864922415
16,8.59864745894447,5,70,1.503071,55.1218933251221
14,8.19657337479293,5,37,2.258199,63.4115000388452
14,9.22963995812461,3,39,1.829692,57.0150982655053
18,9.34782820893452,5,57,0.8294829,46.8183263567173
16,8.76870837481692,5,147,1.599986,49.7037058230489
