PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
23,12.1624785829335,9,343,2.122719,72.4039040910809
22,12.6498024575412,7,351,2.190298,76.4177254062485
23,12.0488331248052,2,82,1.807583,71.3307048477556
22,13.3643666668795,2,151,2.869565,70.1770928942344
23,12.3131793332286,8,327,2.161973,67.7176831168649
24,11.9992803754285,4,96,1.556786,65.1157255633734
24,12.5478788339533,3,64,2.772208,66.4375623843322
24,12.2981424578466,9,284,2.06107,65.536001638975
22,12.1336018336006,2,114,1.559263,74.9597101980312
24,12.7827565409243,3,176,1.636998,68.2360728969797
22,12.4477522079833,2,65,1.312234,72.6876723876392
23,12.3168831667863,1,55,1.820774,67.529686483676
23,13.6118136672303,3,64,2.11284,69.5772935109942
22,13.0971444169991,3,219,1.862799,68.5696099376814
23,12.8153565838002,2,107,1.733603,71.2327826970621
23,12.1308831251226,2,64,1.706194,67.3959167147784
24,12.1215093331411,8,459,1.635215,64.1707395164606
22,11.3470813753083,2,62,1.785368,68.5977765612981
22,12.6324063329957,4,141,1.512331,71.7278995805166
