PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
19,9.38569241575897,1,18,1.116741,37.6063004430187
20,10.0638566669077,1,19,0.783416,36.0367270186543
19,9.24756241589785,1,9,0.969194,36.5434825224312
20,10.0638817502186,0,0,1.245987,35.2554354816675
18,8.96382325002924,1,5,1.315801,38.7685878926681
18,8.68109445786104,1,4,1.659446,37.581414087779
18,9.04796899994835,0,0,1.656355,38.285243169715
19,9.34899933310226,1,27,1.364278,36.3309692199293
20,9.88165583414957,1,27,1.885742,35.8322896296158
18,9.16408341703936,1,0,1.611564,37.8968750592321
19,9.6972929588519,1,17,2.01538,36.8885373892753
18,8.69773962488398,2,38,2.127985,37.8360973619339
20,10.080721875187,1,27,2.087066,35.4065228952095
18,9.17961754230782,0,0,1.444174,38.3090552770429
20,9.94886854244396,1,21,1.927794,36.4465604536235
19,9.36462370818481,1,16,1.642236,36.7055789959666
18,9.04928924981505,1,16,1.799726,37.540127368023
18,9.18120591714978,1,25,0.9916773,38.4573471835918
19,9.3976023751311,1,33,1.344153,37.2184779691069
20,9.86929516633973,0,0,1.742599,28.9433354511857
