PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
18,9.29571229079738,0,0,1.204647,30.4341181181371
18,9.19956683320925,0,0,1.246327,37.4983102600608
18,8.76610529096797,0,0,1.14575,36.4788287422723
20,9.83131479192525,0,0,1.531956,34.458822873421
19,9.54818591615185,0,0,2.164999,35.4496336934206
19,9.5475643328391,0,0,1.865809,37.3326534846504
17,8.56485820794478,0,0,1.84871,38.9235394130297
18,9.26367416605353,0,0,1.08707,37.1810023207217
18,9.21895337477326,0,0,1.111026,37.2305069273959
19,9.61425975011662,0,0,1.389426,35.8631227312512
20,10.032195457723,0,0,1.621466,34.4551247777417
19,9.54704645881429,0,0,0.8046726,36.1327455918256
18,8.98112604208291,0,0,1.74894,37.2839630064037
18,9.13145791692659,0,0,1.259444,38.0316760597957
19,9.24861720809713,0,0,1.231613,36.2641995674685
19,9.49806808400899,0,0,1.390439,36.2265833016289
19,9.29743700008839,0,0,1.328072,35.6624891099177
19,9.33178941579536,0,0,1.330546,35.5231600666517
19,9.36377004114911,0,0,1.527307,36.2931139718153
19,9.23070529196411,0,0,2.187851,36.2509845903045
