PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
25,12.30666070804,1,46,1.986288,12.0553016103804
23,11.4593685423024,1,35,1.702876,12.6812391226058
22,10.9417365831323,1,51,1.643327,11.9659716517411
21,10.5994593328796,2,206,2.47687,11.4789345257339
21,10.4448442501016,1,111,2.305749,10.1164543912524
21,10.1950558749959,1,85,2.248425,10.3805218158024
23,11.3372314171866,1,190,1.777614,11.4224113361991
26,12.6583994170651,1,164,1.688865,11.1404502441963
20,9.66697795828804,1,47,1.715258,11.7252914234996
23,11.4002740830183,1,66,2.004729,12.4320092449046
24,12.1429214170203,1,195,1.731317,13.5321337147616
22,10.6911781253293,1,37,2.209227,12.3521495737474
19,9.53373537492007,1,36,2.060291,13.6832215970284
21,10.2167982920073,1,58,1.515151,12.5895297553922
23,11.1745349159464,1,46,1.966317,11.8446067663962
21,10.148651084397,1,61,1.756185,13.0542818279493
22,10.6846242919564,1,141,1.911462,12.6390586691824
20,10.0999971656129,1,69,1.718604,13.4123541647568
22,10.7078796252608,1,41,1.94181,12.9317064896565
