PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
23,11.4470537919551,0,0,1.414702,16.4068461112354
24,11.9174441667274,1,9,1.796218,16.0645070524576
22,10.825848583132,0,0,1.684927,17.2533826606179
24,11.8418605001643,0,0,1.102608,16.6683923259067
24,11.951346791815,0,0,1.39554,16.3285694046256
24,11.7001418331638,0,0,1.317995,16.1753942957148
23,11.2419781661592,0,0,1.230279,15.9565472934881
24,11.6342590418644,0,0,2.022632,16.120460194846
24,11.9843162088655,1,2,1.688447,16.0670884652063
21,10.6423866250552,1,3,1.372811,17.7686488300207
21,11.036983625032,1,1,1.302485,18.3241091491211
24,11.6750605837442,0,0,1.755404,15.9540295329255
21,10.600369958207,1,1,1.599119,16.4592818224004
23,11.6333199171349,0,0,1.613159,15.4494909245683
22,11.1165652498603,0,0,1.384085,16.8191686230288
24,11.9830970000476,0,0,1.587123,15.054690981439
22,11.1016379580833,0,0,1.687455,16.4691248950972
23,11.4515545000322,0,0,1.516127,14.1931448698692
23,11.415768167004,0,0,1.254062,15.3001794874992
22,11.1841855831444,0,0,1.545215,18.1837595829909
