PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
25,12.8839350417256,9,541,2.300002,32.6768983900547
25,12.9167010840029,5,500,2.428812,31.5431750379503
23,12.9839316252619,6,319,2.340374,35.7703857690744
24,11.9669962502085,6,431,2.462435,33.7800293928012
23,12.4656569580548,4,368,2.255789,33.4776032149144
24,12.249791665934,7,338,2.230418,33.883883676026
24,12.9917866671458,7,389,1.532008,34.1237881608928
24,13.2930180830881,7,337,2.15326,31.6203402277703
22,12.5425365827978,5,278,1.641952,35.6343844270503
25,12.491995791439,8,281,2.180937,32.8959882259369
24,12.4415497086011,10,565,1.995957,34.1447708584989
25,12.9756410000846,6,390,2.499831,33.9311434328556
25,12.9420512923971,11,802,2.156716,31.7153283581138
23,13.0929270419292,7,448,2.050859,37.3481194812642
24,12.4334802078083,5,227,2.347883,33.8906751712784
25,12.4597565419972,6,258,1.718988,34.4130381941795
24,12.4166591251269,6,338,1.634788,30.8003437045651
22,13.4679817091674,7,261,2.324051,34.5501798120412
24,12.6921344590373,4,257,2.041335,32.5995295812997
25,12.4849784169346,4,357,2.068038,31.8015017174184
