PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
19,9.54191304184496,0,0,1.623495,16.2102740601097
20,9.63317049993202,1,27,0.9259657,13.8649853644893
20,9.90756158297881,0,0,1.450399,14.2190873157233
20,9.7003291673027,0,0,2.42698,14.9628875777125
21,10.1178146246821,1,10,1.25948,15.1902737894229
20,9.63342441618443,1,13,1.77378,17.8756956942379
19,9.1001540417783,0,0,1.309137,17.1107170662205
20,9.93401716696098,1,39,2.044889,17.5841436022893
21,10.4076188751496,1,20,1.477641,17.4611747220513
19,9.59374783281237,1,28,1.580012,17.8558377696103
20,9.99266833392903,0,0,1.33467,17.3252332257107
19,9.28377425018698,0,0,1.195113,15.694138103802
20,9.88597995787859,0,0,1.418708,15.0473644724116
20,9.93240879196674,1,7,1.513553,16.5008021518588
18,8.69255941733718,1,5,1.219174,16.6442039319211
20,9.85943245887756,1,15,1.899294,16.618508216925
20,9.86650437489152,1,7,1.696794,15.8355124760419
20,9.68228325014934,1,32,1.754174,16.1676397081465
21,10.4602628750727,0,0,1.323298,14.5161131485587
