PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
39,20.7543458747678,2,29,1.81333,27.5100395561029
41,20.818505208008,4,183,1.595109,26.0506005753286
41,21.2864891253412,9,560,1.876496,26.0167601177605
41,20.67790779192,2,87,1.996214,26.2618008433137
39,20.2433085837401,2,29,0.8482677,26.0602275196176
41,20.7196932919323,0,0,1.50525,25.5728953222676
39,20.2360307909548,7,397,1.742621,26.735611164417
39,20.0615494172089,3,331,1.701041,27.03355336323
40,20.1933252909221,3,161,1.916435,26.0831395396963
39,21.2551762913354,3,105,1.608935,26.5449391176494
40,20.0691944579594,4,291,1.484366,27.0274604205042
41,21.0032574161887,10,500,1.669694,27.316173833863
40,21.4102089158259,2,289,1.329304,27.3214864428155
40,20.7699355836958,4,20,1.116072,27.6043551275507
40,20.5616718754172,2,119,1.491891,26.9269989104941
40,20.526316375006,8,268,1.852793,27.3860322660767
39,20.0681638750248,6,208,1.464567,27.9919371271554
41,20.8596075410023,3,172,1.320637,26.5677571978147
39,20.8026090832427,5,214,1.431207,27.7882701215836
40,21.0862046666443,4,120,2.218307,24.3427365086973
