PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
42,29.4240494156256,5,174,1.308022,24.3760506134658
42,21.3118242919445,4,200,1.7447,23.5064374282956
43,22.7762159579434,3,138,1.33679,22.8412820047937
42,22.6775150420144,4,130,1.405119,23.1556397352722
42,21.0277462499216,1,16,1.606567,22.886286711409
44,22.0175699167885,1,14,1.425214,22.0907698808746
41,44.5899007916451,7,184,1.357031,23.8227937484115
41,22.2763378750533,3,24,1.396719,22.4135538631278
41,21.8176176249981,3,50,1.697885,23.1179247224113
41,27.187929791864,3,203,1.521055,23.2753241434693
42,22.0040955827571,4,467,1.578669,23.676050560815
42,22.0045149168,5,108,1.60757,23.4094315674156
41,31.1620625001378,2,84,1.065832,24.3749440329649
42,21.2793694157153,12,918,1.870223,23.6254175348828
43,21.8201852086931,4,269,1.704918,23.1641560229798
45,22.6944012921304,2,126,1.493505,22.4449981831842
41,26.6946034589782,1,9,1.635893,24.2473007316088
40,21.260657416191,2,32,1.365702,24.3695437791757
41,29.77838087501,1,10,1.716843,24.6095915052404
41,21.6008712910116,4,201,1.984406,21.8482094180838
