PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
16,9.44436208391562,2,42,2.481761,14.8492368170992
17,10.8660738747567,4,94,1.356294,15.4121692073258
22,10.9496710416861,3,81,1.378031,12.6155093947256
17,10.6496019582264,2,69,2.288358,14.4349999780602
15,10.7418142496608,4,71,1.750194,14.281055641671
20,10.4749935409054,4,87,1.469911,12.5072791008279
19,10.6249877498485,4,94,1.668563,12.6442632049714
17,11.5749351670966,2,61,1.52925,14.1183236504302
18,11.9662984996103,3,70,1.795848,13.4646317714618
20,10.892347374931,6,102,1.678337,13.1721124984324
16,10.0975891673006,4,107,1.49604,15.4156588541809
17,8.90781545825303,2,54,2.084105,13.0854681243791
18,10.9079387909733,5,76,1.659512,12.4196320151289
17,10.9496147497557,2,39,1.565611,13.5850418249474
15,10.0285491668619,4,106,2.06629,15.8206694138547
16,9.44913037493825,4,66,1.91145,16.3123592210468
17,10.9816033751704,5,85,1.490808,13.8566885965274
15,10.7081058747135,2,44,1.773169,13.8960806652904
15,11.5335262501612,5,53,1.74472,16.5441554350158
20,9.89537508413196,3,52,1.642284,13.2620104588568
