PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
24,11.8721041660756,1,38,1.842204,4.97188025231784
27,13.1343592079356,1,231,1.693045,4.94881936659416
25,12.5669010840356,1,220,1.583173,4.58967000246048
23,11.5158073748462,1,106,2.181227,5.12779886712847
22,10.6083905831911,1,150,2.364514,5.13894500380213
21,10.274385875091,1,58,2.191278,4.5753274379032
21,10.2241894998588,1,56,1.978679,4.42198220463026
25,12.3666264577769,1,147,1.501297,4.02612321078777
25,12.3674261248671,1,100,1.666284,4.47813838720322
25,12.2348037082702,2,48,1.73479,4.21307493001223
25,12.2169794589281,2,228,1.962146,5.0224282220006
23,11.5006398749538,1,56,2.049739,4.7760288959936
25,12.1411669161171,1,102,2.178657,4.94857842102647
27,13.3756936248392,1,123,1.599874,5.00524382072466
23,11.1255582920276,1,182,1.929266,4.92096558699141
23,11.2917142920196,1,83,1.930439,4.90342036051595
23,11.1576538747177,2,56,1.955717,4.61726809811333
20,9.91685791686177,1,57,1.887644,4.51238537207246
25,12.1085346671753,1,111,1.684983,4.76046826690435
22,10.9051698748954,1,59,1.649313,4.92225189439275
