PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
19,9.08296204218641,0,0,1.545703,8.06980469803277
19,9.29517716681585,0,0,1.666022,7.01473883696293
20,9.88636316731572,1,30,1.618157,6.90479585900903
22,11.066352958791,1,16,2.670318,6.24947717667303
19,9.34185854205862,0,0,1.69436,7.28934846426311
21,10.1266605001874,1,39,1.137491,6.69157737866044
20,9.64502074988559,0,0,1.611573,6.94547926541418
20,10.0349390418269,0,0,1.839586,6.658945675008
20,9.79679883318022,0,0,1.823356,7.61707690544426
19,9.26194066694006,1,37,1.939689,7.61011404622542
21,10.1244035419077,0,0,1.811592,6.96240079456142
19,9.21206508390605,0,0,1.9288,7.74725230018559
21,10.3443172499537,1,5,1.518473,7.79662689282781
21,10.1265314579941,1,46,2.039107,7.17608333520946
20,9.85762087488547,0,0,1.328123,7.12759168818593
19,9.35374391730875,0,0,1.807263,7.18916224707898
21,10.3591340421699,0,0,1.93445,6.05330955503242
21,10.3306577913463,0,0,1.636472,5.40739486348771
20,9.89317504130304,1,38,1.372777,6.29416455049068
21,10.5890811253339,0,0,1.31419,7.03980554161327
