PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
40,21.3959317500703,2,197,1.411761,45.3235626220703
40,20.876203707885,3,207,1.781514,37.7663656137884
41,20.5975505840033,2,333,1.422687,37.011284608303
41,20.6359530417249,2,19,1.990619,37.0981311198415
40,21.35180724971,9,350,1.284251,39.0284009510651
39,21.0566471251659,4,106,1.531729,39.1339605483107
40,20.5726149580441,2,146,1.781524,41.2541582947597
40,23.1395635418594,0,0,1.509404,37.6263384707272
40,20.3923770003021,2,81,1.243873,37.516674969811
41,20.8541089170612,10,298,1.792719,38.0942336419915
40,20.4768093749881,4,105,1.490507,38.2095343549736
43,21.5019037500024,6,110,1.645229,36.4537423389942
41,20.4285442093387,3,161,2.110653,37.4198394554962
38,20.3667405829765,0,0,1.410846,39.9004670938379
40,21.4336807504296,1,46,1.556782,38.9865864533931
38,19.8001713752747,0,0,1.269842,40.8765943108225
40,21.0524838753045,3,27,1.70479,40.4307270888239
39,20.5672851251438,11,580,1.899163,40.2379166096067
42,20.9688284588046,10,278,1.716617,36.8534118447098
