PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
39,20.4239042503759,1,2,1.386518,39.1989999498503
40,21.2034587920643,0,0,1.51546,39.409983321093
41,22.4478789172135,1,4,1.316798,39.3315721643952
39,24.506553332787,4,33,1.053305,42.1100235424745
39,46.8940526661463,0,0,1.368083,41.5382722798639
40,20.4062723750249,6,296,1.275448,38.912814669311
41,28.0002401252277,0,0,1.4659,40.8061361848945
41,22.3565416247584,0,0,1.264713,39.6365263817332
42,29.0010522082448,6,56,1.062091,40.6825327469657
43,23.6741397078149,0,0,1.931685,39.3950610399939
40,21.9272444169037,1,78,1.769042,40.9113843343221
39,20.4670514999889,2,43,1.315906,39.4705705559598
41,21.406078542117,2,44,1.758588,38.8145722312535
41,21.820640000049,4,125,1.79263,39.0048973693899
40,20.8274240000173,0,0,1.509049,39.4262188230641
41,21.5906402501278,1,31,2.118106,38.3750263306244
41,21.5639066249132,1,4,1.436126,35.8288709142404
43,21.5192605829798,1,4,1.59383,34.6647907849834
38,22.9375108750537,3,87,1.476211,39.362832303404
