PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
18,11.7059493330307,3,74,1.637096,29.8182245395664
15,9.28951512509957,2,32,1.681892,34.176477851967
17,8.96524908300489,2,63,1.771409,32.9608967911233
18,9.620537832845,5,122,1.52345,30.1228933450248
16,12.1248555839993,1,25,1.572094,36.5880547906272
16,10.3237902917899,2,46,1.837188,36.4481537253596
16,10.2356059593149,2,36,1.92269,33.5909244895447
20,11.1421787920408,4,86,1.601064,29.2920123552904
18,10.6905346252024,2,32,1.570552,31.9502687909537
18,10.3939357497729,2,27,0.8642754,30.6867799049036
17,9.92571991728619,3,62,1.713534,31.349757412339
15,9.89665662497282,0,0,1.869356,34.7884389571846
14,10.1317425831221,1,11,1.179956,36.4749195785927
14,10.8965013748966,4,91,1.342974,35.8038689009845
18,9.16893229121342,3,82,1.983476,30.8279723394662
18,9.95056195789948,3,65,1.80525,30.7617221389794
16,11.3605667082593,1,25,1.417068,36.9074063200969
20,10.8745122090913,3,48,2.544252,29.5598479686305
18,10.2340169171803,1,12,2.289481,31.3830369979971
