PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
23,12.0068785408512,6,687,1.606142,41.028072450148
23,12.4377207076177,4,326,1.70174,39.2402083127071
25,12.5501024173573,6,389,1.628372,35.6661816500127
23,12.4552410002798,3,237,1.746736,35.2228968606695
25,14.7475620838813,6,558,2.386144,34.5731449499726
24,12.3429023749195,9,431,2.045974,36.3348734099418
23,12.6102119581774,6,341,1.600651,37.4252264509382
23,12.7771780830808,7,445,2.050661,37.9357664117023
23,13.6937409592792,7,406,2.340141,37.8007463624944
23,13.0189659586176,6,472,2.296661,38.7176721073363
24,12.6937694158405,7,431,1.800135,35.9063470968977
23,13.2156764161773,8,581,1.866977,36.7069004265511
23,12.1051011248492,5,284,2.227944,35.3664636773908
28,13.8147348342463,4,225,1.481696,32.5428021606058
27,13.8796914587729,10,481,2.507364,33.5849815186251
23,13.0452180826105,7,251,1.923856,36.4071468053305
27,13.4107567500323,7,511,1.594826,31.8829489492432
23,12.409117708914,6,376,1.917298,37.284204878075
25,13.3959654578939,5,288,1.175122,34.9104148708284
