PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
23,11.4193047918379,1,68,1.908012,26.7646376286512
18,8.78050212515518,2,62,1.673301,24.2857106495649
24,12.0649584159255,1,66,1.693329,24.7952240752056
19,9.57993712509051,1,57,1.699801,25.7906094438543
18,9.06394562497735,2,65,2.114381,27.5245555159118
19,9.56591020803899,1,80,1.79697,26.7067719005833
19,9.5137610421516,1,34,1.887314,27.1655196863178
21,10.564129000064,1,64,1.817324,25.6382878204542
20,9.79809391731396,1,60,2.213252,25.7482667919248
21,10.5643667499535,2,81,2.474697,24.8384483247286
18,9.03090008394793,1,39,2.231023,26.4076576050785
22,11.2649226658978,2,191,1.731772,26.7086458096111
21,10.3655495420098,3,145,1.960415,26.0642223459269
22,11.2821710002609,2,151,1.694524,25.5626914599402
21,10.4632187075913,1,30,1.572565,26.6952658338206
18,8.89491529110819,1,67,2.315274,26.3213935670339
19,9.74887916585431,2,41,1.91526,26.2110264187581
21,10.2456937078387,1,52,1.945835,25.5929168668531
23,11.2818333748728,1,184,2.21705,26.6280633437893
