PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
24,12.1340597090311,1,5,1.993998,30.3024930763058
23,11.6135402079672,1,3,1.957018,32.0862319077487
24,12.0964440000243,1,3,0.9307972,30.4880329058506
22,12.1473475419916,0,0,1.007686,32.8218050682071
21,10.5978646250442,0,0,1.509057,33.888261853939
21,11.5124313337728,1,4,1.692476,34.0454821430502
23,11.5976793752052,1,0,1.093328,31.3951830663111
21,11.481076749973,1,6,1.224114,34.5527420618704
22,11.5809388337657,0,0,1.833662,33.7215587285093
23,11.6289653750136,0,0,1.463747,30.7134292493372
24,12.2173377093859,0,0,1.824209,32.8424513766853
21,11.349328042008,0,0,0.8303266,33.0928730379258
22,11.9961039167829,0,0,1.274923,33.5523635995659
22,11.6314764996059,0,0,1.711603,33.2749354737726
24,11.9151534587145,1,2,1.801781,31.1020642596607
23,12.6479221670888,0,0,1.530925,31.8422047016413
25,12.5316009172238,0,0,1.208645,30.4805434308946
23,12.0658111250959,0,0,1.126813,31.4215397381264
22,11.213767291978,0,0,1.647543,33.4414582360874
