PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
19,11.1327271251939,3,47,1.506445,57.9601909082971
22,11.1004383335821,4,67,1.825464,47.7410454345359
13,11.0310020842589,1,11,0.910338,67.8121984864657
19,12.7831592089497,0,0,1.644711,53.9946578639118
18,11.7663593329489,8,212,1.820061,57.3142060182161
18,11.2157997079194,4,64,1.341292,56.5422824583948
20,10.9157232912257,5,79,2.703153,59.3773314496502
22,12.6671773749404,3,49,1.804802,53.8549185942181
14,11.615605707746,2,48,2.162877,64.045494256009
21,10.5489700003527,6,82,1.553688,47.8508530539416
16,10.882513999939,1,31,1.903057,60.4224219569005
22,12.5829433752224,5,85,1.701106,51.4280966652388
18,10.8317712913267,2,25,1.366834,60.5808218371951
25,12.7675500828773,6,165,1.763215,47.4944116547704
19,11.9833813747391,3,36,1.890629,57.4554408361253
16,11.6171417911537,1,24,1.908952,58.9613803022075
18,12.0365559579805,4,44,2.293963,60.0577339581731
18,11.0660129999742,1,24,1.813276,61.2845509313047
23,12.8661379585974,1,20,1.535392,52.1585633573325
