PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
23,13.7803133330308,4,461,1.411427,61.6087881321816
25,13.6976635418832,6,244,1.932436,62.5916299968958
23,13.6124736666679,6,527,2.118739,70.0927790375831
22,12.1193362092599,6,642,1.44101,69.7127668483352
23,14.6658668341115,9,514,2.149509,69.0400960409771
24,12.581551166717,5,261,2.274262,65.5322204887246
23,12.2815129170194,3,199,1.736396,71.0736087361432
23,12.6327155842446,8,415,2.059083,64.7591702113657
26,14.152049000375,9,683,2.419997,60.8937918172719
22,12.6653488748707,8,306,2.086675,69.2242443222891
22,13.0315966252238,4,183,2.195208,69.8371762833135
23,12.7162316250615,6,459,1.600669,69.7460614711694
28,13.9476664583199,14,790,2.278144,56.4178541535512
24,12.1139399590902,7,459,1.82576,67.8744497320925
23,12.5660002501681,7,450,2.036022,64.0032372801848
23,12.6999000003561,6,359,1.764069,64.3014891235077
24,12.332109708339,6,301,1.573354,68.2228455358806
22,13.1475685420446,6,159,2.21772,70.6954715900462
23,14.5991976251826,11,515,1.985402,69.4972444730608
