PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
18,9.1960784168914,1,92,2.15606,26.1143033082287
20,9.96428104210645,1,91,1.599766,24.9514312017709
19,9.74825474992394,2,79,2.473279,26.2947982716325
21,10.5328502911143,1,77,2.02557,25.5020853087661
24,12.2151912078261,1,186,1.761461,26.0761057337125
20,10.0119911250658,2,114,2.196615,23.9695520838723
22,11.0972522078082,1,31,1.839263,24.0572690328752
19,9.59901545802131,1,72,1.698196,25.9890502906944
21,10.7148130829446,1,54,2.156959,26.1398551852575
20,10.0819431673735,1,66,1.961668,26.197485323064
20,10.2456844998524,1,48,2.983854,24.3569041835144
23,11.7801329172216,1,74,1.622351,24.6672518146427
21,10.4667239170521,2,87,1.803081,25.0816508196294
18,9.08064433326945,1,110,2.455761,27.2394630592316
24,12.0793599998578,1,272,1.913204,25.8102221220421
21,10.5651274169795,2,42,1.761136,24.6560178874504
21,10.4461524169892,1,111,2.233461,26.4097697411974
24,12.0299802077934,1,113,2.199014,25.168796768412
21,10.5637175408192,1,57,1.639611,24.6264026722028
