PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
38,20.1451814169995,4,72,1.655972,84.0410745555633
38,20.4159364169464,3,150,1.3844,84.8299439775905
41,20.5818165419623,5,147,2.83755,79.8656556005703
38,19.7830764157698,1,6,1.683757,82.9642225105904
38,20.9678573752753,8,223,2.030287,86.2586348268547
40,20.2659440827556,0,0,1.860223,81.2170479912311
38,19.6164960423484,3,21,1.981312,84.6077270168615
37,21.1167087918147,0,0,2.218086,86.2480225922489
37,20.5653523751535,6,310,1.930523,87.436659739831
37,19.4690279997885,1,9,1.436831,85.5897049847487
38,19.3010614579543,1,3,1.409182,86.0258497077187
36,19.9010695000179,4,161,1.49164,87.5097394713925
37,20.223283290863,5,68,2.009776,86.4969493091308
38,20.3069606246427,0,0,1.083852,84.4245613797715
39,19.6357387080789,8,303,2.150292,83.3127221737344
39,19.8646097076125,3,220,1.649351,82.3423750340366
39,19.9997434997931,5,120,1.460242,83.2833066128959
38,20.4837364582345,4,167,2.072845,85.2202424706009
38,21.3503339160234,2,13,1.534985,85.1562762829034
