PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
39,28.5534584173001,0,0,1.641351,67.4218984965522
37,21.7650520000607,0,0,1.429231,71.5591847468671
38,21.9148635417223,0,0,1.145261,66.4258147099693
39,21.2473524999805,12,252,1.423565,71.7995108750004
41,20.6151824155822,2,240,1.33877,60.2091301527874
42,21.8151871250011,0,0,2.021714,62.3870417032213
37,20.7968460828997,1,9,0.9795177,68.4609279867161
40,20.8137913336977,5,314,1.57668,72.0359249622561
37,28.0323924999684,2,5,1.166873,77.4614606304346
38,32.4802121249959,6,330,1.380801,69.3656074520397
39,22.4817959996872,4,61,1.014279,71.5796430714619
41,20.6146859172732,2,31,1.422752,67.4999329465918
38,20.7980619580485,1,7,1.237378,65.2753333561122
42,35.3110137912445,6,110,1.365419,68.1324920816613
41,21.7980906250887,12,322,2.075471,69.4627011444692
40,21.2143832501024,0,0,1.042655,67.0469083590433
43,26.3675902909599,0,0,1.277223,61.9576618530203
39,31.2135447501205,0,0,1.306966,69.7817541778279
39,21.2812747498974,4,171,1.618915,73.183393273025
