PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
23,11.544743666891,0,0,1.924844,31.5594527991894
22,11.580707791727,1,5,1.159834,32.7203654980456
22,11.5153670841828,0,0,0.8272476,33.0963902260092
21,11.1493382500485,1,4,1.754571,34.3797281384468
22,12.631846124772,0,0,1.376564,33.5263997443359
23,11.5646301656961,0,0,2.030791,32.3851194799594
22,11.2643372910097,0,0,0.8848807,33.7728788144886
23,11.630547166802,0,0,1.151469,31.9730959751684
21,11.6140220421366,0,0,1.158161,34.0795457540523
25,12.6126123331487,0,0,1.44637,29.7454451397061
22,12.632449042052,0,0,1.312766,32.8572103753686
22,11.6802167077549,0,0,1.32099,33.0512102015994
28,13.9320512078702,0,0,1.530539,26.9808973784425
22,11.1631170837209,1,8,1.596463,33.5836401420899
22,11.5320815416053,0,0,1.722539,33.196024639024
22,11.2124514160678,0,0,1.62928,31.8027006631548
22,11.213021625299,0,0,1.639589,32.326846531677
23,12.4800721672364,0,0,1.426658,32.1775599301833
23,11.5472577502951,0,0,1.444549,32.7355469900953
