PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
19,9.61339375004172,3,45,1.676362,45.6195394018371
15,10.5153875839897,1,11,1.800624,59.6944888743261
15,9.56568112503737,3,52,1.596687,57.689194381237
18,10.299327749759,4,31,1.831285,53.1389097320951
15,12.1523491670378,3,60,1.984764,57.9816028165321
16,9.44890395784751,3,46,2.078379,55.659130361164
20,10.0820392919704,3,36,1.908149,48.89894395601
16,10.4319776250049,7,83,1.502067,57.0376092800871
17,9.88220045855269,3,61,1.450806,58.1954459604972
22,11.1143934577703,5,65,1.616183,44.8258238294246
15,9.59859416680411,1,55,2.325369,55.0602499395609
18,11.4659959161654,2,41,1.987235,57.7772637415263
15,10.1313058752567,4,39,1.784305,55.8674138660232
17,10.4821534580551,5,75,1.315304,56.405877447961
17,10.6149576669559,5,176,1.696905,58.3842451519826
16,12.3347259168513,0,0,1.819686,64.7088333207648
16,9.21638620784506,2,27,1.987228,48.9419009827543
16,11.2983913337812,5,113,1.511984,58.4197319403756
15,9.94867587508634,4,71,1.803784,59.5457750062148
