PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
24,13.1489982092753,2,54,2.195988,68.8082916312851
26,15.1495274170302,1,56,1.930358,66.2576151796832
22,12.1168809579685,5,133,1.972377,66.2827348251912
23,12.4665162502788,7,228,2.314007,73.0318731385405
25,12.9326053750701,8,285,1.716499,63.6726332083344
23,12.0845749578439,1,59,1.88451,64.793213756512
22,14.1864295830019,3,317,2.15719,68.7975094188005
25,13.0997527916916,6,265,2.101657,61.7560416832566
25,12.6332122497261,5,247,1.983099,62.411595005542
24,12.2634395840578,4,91,2.418329,65.8357709374589
22,12.599807374645,4,225,1.99809,69.1065113906833
24,12.6489692917094,4,303,1.665537,68.3072846926128
22,12.113554708194,15,587,1.962883,71.0675132206895
24,12.0811427077278,5,121,2.542976,66.1982412760456
24,13.8003774578683,9,247,2.28215,64.8581077887987
22,12.1990185831673,5,113,1.874677,67.7541554058817
24,13.2991768750362,6,496,2.26522,67.1486456800873
23,11.885072582867,3,119,1.855497,67.9432845310025
27,13.6158165829256,3,156,2.332556,58.6304351411484
