PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
18,8.98706566682085,1,32,1.802064,36.6398773621768
19,9.19743970781565,1,30,1.863273,36.6596293782717
19,9.56545000011101,1,17,1.575797,36.8589933618511
19,9.485708208289,0,0,1.673168,35.9329671206835
18,9.21517270803452,1,7,1.153245,37.6267199818459
18,8.93084095884115,1,24,1.833683,37.6913426702635
18,9.24676845828071,0,0,1.683086,36.9146133307368
19,9.21304574981332,0,0,1.794004,35.5258092627321
20,10.0827526669018,1,23,1.445818,34.8800622858107
19,9.66392529197037,0,0,1.50451,37.5980987752739
19,9.51416095811874,0,0,1.700059,36.4907280738024
19,9.34803579095751,1,27,1.181098,36.7628947929724
18,8.68108741659671,0,0,1.617545,37.3252685595718
19,9.34816791675985,0,0,1.757348,35.9075723559056
19,9.74718704167753,0,0,1.632901,37.3033486355684
19,9.4154661251232,0,0,1.372184,36.3194801795639
18,8.71363808307797,0,0,1.793758,38.196518448078
19,9.46875687502325,0,0,1.12003,36.2677675377774
19,9.23078704159707,1,7,1.800604,36.810594316768
