PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
25,12.65443912521,1,188,1.844792,24.4819466024637
23,11.4310145839117,2,69,1.899886,24.1127899523986
22,11.0139167918824,1,68,2.157525,24.6787842109122
21,10.3974020420574,1,72,1.944246,25.6627975253477
22,11.1118994588032,2,63,3.881377,24.4635512883013
27,13.6313924998976,1,96,2.186917,24.0027948317152
23,11.5635191663168,1,54,1.969688,24.9719057313126
22,11.0691341669299,1,88,2.292671,24.47976895862
21,10.4309449591674,1,44,2.650827,24.619559469145
20,10.2480789171532,2,66,1.472014,26.3046770822257
28,14.0816095410846,1,173,1.976278,24.0974822081625
21,10.5984190828167,1,63,1.773169,25.4566250590696
19,9.49671375006437,2,33,1.909126,25.8265548924866
20,9.76331866625696,1,58,2.130911,24.3310248712078
21,10.3145210407674,2,23,2.161153,24.9794583900699
25,12.6143445838243,2,53,1.918852,23.479669932276
23,11.5811726669781,1,172,1.946235,23.6616467287683
22,11.099897291977,2,144,1.725364,24.1589621344412
29,14.315330167301,2,182,1.406368,23.8308002369414
