PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
23,13.6455464996397,1,56,1.7823,73.3025216537973
29,14.6156037081964,4,151,2.127949,58.9687542925621
24,12.6326830000617,5,242,2.02184,63.7233595674237
26,13.7835762500763,10,422,2.142676,62.674102677892
23,13.1329632499255,2,90,1.718952,70.6960489244565
25,12.5663684168831,7,372,1.807545,66.1481949128211
26,13.1662119999528,6,186,2.053432,62.4124423529093
24,13.1337345419452,4,178,2.143019,63.0803713769031
25,14.6680817496963,4,180,3.583486,64.6846101433039
28,13.9667070000432,4,115,3.239877,58.1977724463546
29,14.5982756661251,3,93,1.837348,57.8264670510744
25,14.0822377083823,3,160,1.202466,64.4531950168312
23,12.8186232079752,6,240,1.955824,69.1131756883924
21,11.9659254159778,2,83,2.131144,71.3748611243708
23,11.7683968748897,4,194,1.74607,68.8182844618416
25,13.0989080420695,1,57,1.666906,59.306839928031
24,13.5166668752208,5,192,1.924194,66.3992134698977
22,12.2993809999898,4,83,2.356027,70.4040965700353
24,13.2181504168548,4,262,2.751438,66.4081144495867
