PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
38,20.158767290879,4,217,1.466198,77.1301117554111
39,20.7833065828308,7,341,1.232628,77.2352520352564
37,19.799310375005,5,154,1.543122,80.8092679929089
40,20.2495344160125,1,4,0.8212801,72.5191230187193
38,20.64915191615,0,0,1.174543,76.3959988927175
38,20.764265709091,3,53,0.994596,80.0658948106789
39,19.8327618748881,2,18,1.75013,75.2484220056198
40,20.2310297503136,2,79,2.771427,74.2358332732692
37,20.2773024998605,20,556,2.310792,84.1464492794428
38,20.0323554170318,0,0,1.448198,78.1523124192302
38,20.8477724581026,1,5,1.52869,79.3377861233526
38,20.0991034163162,3,88,1.206257,77.6433903772972
38,20.8474098746665,3,69,1.609864,78.8817992311363
40,20.282936333213,1,29,1.46807,77.7790261781774
42,21.0994514999911,2,45,2.332048,71.2489533526379
37,20.7840210832655,9,304,1.854879,81.4371036013236
38,19.6653671250679,4,102,1.464064,75.7624364065889
39,19.8311709589325,3,68,1.59454,78.4048835555903
41,20.6159479157068,7,369,1.444203,68.1654491757111
41,20.5537115829065,1,9,1.072194,68.0354481631118
